Type of Food,Number of Guests,Event Type,Quantity of Food,Storage Conditions,Seasonality,Pricing
Dairy Products,250,Corporate,350,Room Temperature,All Seasons,Moderate
Baked Goods,300,Social Gathering,400,Room Temperature,Summer,Low
Dairy Products,320,Social Gathering,480,Room Temperature,All Seasons,High
Baked Goods,300,Social Gathering,400,Room Temperature,Summer,Low
Dairy Products,380,Social Gathering,400,Room Temperature,Winter,Moderate
Baked Goods,320,Social Gathering,400,Room Temperature,Summer,High
Dairy Products,300,Social Gathering,400,Room Temperature,Summer,Moderate
Dairy Products,397,Social Gathering,482,Room Temperature,Winter,Moderate
Dairy Products,280,Social Gathering,350,Room Temperature,All Seasons,Moderate
Baked Goods,350,Birthday,450,Room Temperature,All Seasons,Moderate
Dairy Products,280,Social Gathering,350,Room Temperature,All Seasons,Moderate
Meat,488,Wedding,498,Refrigerated,Winter,High
Meat,320,Corporate,400,Refrigerated,Summer,Moderate
Meat,302,Birthday,371,Room Temperature,Summer,Low
Meat,300,Wedding,450,Refrigerated,Winter,High
Meat,350,Wedding,450,Refrigerated,Summer,High
Vegetables,280,Wedding,350,Refrigerated,Summer,Low
Meat,300,Wedding,450,Refrigerated,All Seasons,High
Fruits,320,Birthday,480,Room Temperature,Summer,High
Fruits,350,Birthday,450,Refrigerated,Winter,High
Meat,300,Birthday,400,Room Temperature,Winter,Low
Meat,350,Corporate,450,Refrigerated,Summer,High
Baked Goods,367,Birthday,420,Room Temperature,Winter,Low
Meat,300,Wedding,400,Refrigerated,All Seasons,Moderate
Meat,300,Wedding,400,Refrigerated,Winter,Low
Fruits,280,Birthday,350,Room Temperature,Winter,Low
Fruits,320,Corporate,480,Room Temperature,All Seasons,High
Baked Goods,320,Wedding,400,Room Temperature,All Seasons,High
Meat,250,Birthday,400,Room Temperature,Summer,Low
Vegetables,207,Birthday,280,Refrigerated,All Seasons,High
Meat,250,Social Gathering,350,Refrigerated,Summer,High
Meat,250,Corporate,350,Room Temperature,Winter,High
Fruits,350,Birthday,450,Refrigerated,Summer,High
Fruits,438,Wedding,493,Refrigerated,Winter,Moderate
Dairy Products,250,Wedding,350,Room Temperature,All Seasons,Low
Meat,310,Social Gathering,350,Room Temperature,Winter,High
Baked Goods,380,Birthday,480,Room Temperature,Winter,Moderate
Baked Goods,320,Wedding,400,Room Temperature,Summer,Moderate
Fruits,400,Corporate,500,Room Temperature,Winter,High
Meat,453,Social Gathering,484,Refrigerated,Summer,High
Baked Goods,350,Birthday,450,Room Temperature,Summer,High
Baked Goods,400,Corporate,500,Room Temperature,Winter,High
Meat,400,Corporate,500,Refrigerated,All Seasons,High
Dairy Products,300,Birthday,400,Room Temperature,All Seasons,High
Dairy Products,434,Birthday,495,Room Temperature,Summer,Low
Fruits,280,Birthday,350,Room Temperature,All Seasons,Low
Baked Goods,400,Social Gathering,450,Room Temperature,Summer,Moderate
Baked Goods,400,Wedding,500,Room Temperature,All Seasons,Low
Meat,350,Wedding,450,Refrigerated,All Seasons,Moderate
Fruits,453,Birthday,484,Room Temperature,All Seasons,High
Dairy Products,453,Corporate,484,Room Temperature,Winter,High
Dairy Products,240,Wedding,450,Room Temperature,Summer,Low
Dairy Products,350,Wedding,450,Room Temperature,Winter,High
Dairy Products,300,Birthday,400,Room Temperature,Winter,Moderate
Dairy Products,320,Social Gathering,400,Room Temperature,All Seasons,Moderate
Meat,367,Birthday,420,Room Temperature,Summer,Low
Meat,220,Wedding,300,Refrigerated,Summer,Low
Fruits,280,Wedding,350,Refrigerated,Winter,Low
Fruits,491,Birthday,497,Refrigerated,Winter,High
Baked Goods,434,Wedding,495,Room Temperature,All Seasons,Low
Vegetables,230,Corporate,500,Refrigerated,Summer,Moderate
Baked Goods,250,Birthday,350,Room Temperature,Winter,Moderate
Dairy Products,300,Corporate,400,Room Temperature,Summer,Moderate
Baked Goods,350,Wedding,450,Room Temperature,All Seasons,High
Dairy Products,320,Wedding,400,Room Temperature,All Seasons,Moderate
Dairy Products,310,Social Gathering,350,Room Temperature,Winter,High
Baked Goods,280,Birthday,350,Room Temperature,All Seasons,Moderate
Dairy Products,320,Wedding,400,Room Temperature,All Seasons,High
Baked Goods,260,Social Gathering,400,Room Temperature,Summer,Low
Meat,400,Birthday,450,Refrigerated,Winter,Moderate
Meat,220,Wedding,300,Refrigerated,Summer,Moderate
Meat,275,Corporate,388,Refrigerated,All Seasons,Low
Meat,320,Corporate,400,Refrigerated,Winter,High
Meat,400,Corporate,500,Refrigerated,Winter,High
Dairy Products,400,Social Gathering,400,Room Temperature,Winter,High
Dairy Products,320,Birthday,400,Room Temperature,All Seasons,Moderate
Vegetables,300,Social Gathering,450,Refrigerated,All Seasons,High
Baked Goods,350,Birthday,450,Room Temperature,All Seasons,Moderate
Dairy Products,220,Social Gathering,300,Room Temperature,All Seasons,Low
Dairy Products,220,Social Gathering,300,Room Temperature,Summer,Moderate
Baked Goods,400,Social Gathering,500,Room Temperature,All Seasons,High
Baked Goods,220,Social Gathering,300,Room Temperature,All Seasons,Moderate
Fruits,453,Wedding,484,Refrigerated,Winter,High
Meat,400,Corporate,500,Refrigerated,Winter,High
Fruits,250,Birthday,350,Refrigerated,Summer,High
Vegetables,350,Corporate,450,Room Temperature,Winter,High
Meat,300,Wedding,400,Refrigerated,Winter,Moderate
Meat,380,Birthday,500,Refrigerated,Winter,High
Meat,250,Wedding,350,Refrigerated,Winter,Moderate
Vegetables,220,Corporate,300,Refrigerated,Winter,Low
Baked Goods,488,Wedding,498,Room Temperature,Winter,High
Meat,400,Corporate,500,Refrigerated,All Seasons,High
Baked Goods,491,Birthday,497,Room Temperature,Summer,High
Fruits,400,Wedding,500,Refrigerated,Winter,High
Meat,261,Birthday,350,Refrigerated,Summer,Moderate
Vegetables,434,Wedding,495,Refrigerated,All Seasons,Low
Fruits,350,Wedding,450,Room Temperature,Winter,Moderate
Vegetables,350,Birthday,450,Refrigerated,Summer,High
Baked Goods,380,Birthday,480,Room Temperature,Winter,Moderate
Fruits,400,Wedding,500,Room Temperature,All Seasons,High
Baked Goods,247,Wedding,348,Room Temperature,Winter,Moderate
Dairy Products,320,Corporate,400,Room Temperature,Winter,Moderate
Meat,350,Social Gathering,450,Refrigerated,Summer,High
Baked Goods,207,Wedding,280,Room Temperature,All Seasons,High
Baked Goods,280,Corporate,350,Room Temperature,Summer,Low
Baked Goods,400,Corporate,500,Room Temperature,Winter,High
Dairy Products,220,Wedding,300,Room Temperature,Winter,Moderate
Baked Goods,400,Wedding,500,Room Temperature,Summer,High
Baked Goods,250,Birthday,350,Room Temperature,Summer,Moderate
Baked Goods,320,Birthday,400,Room Temperature,Winter,Moderate
Vegetables,250,Corporate,350,Refrigerated,Summer,Moderate
Baked Goods,280,Social Gathering,350,Room Temperature,Winter,Low
Dairy Products,300,Corporate,400,Room Temperature,Winter,High
Dairy Products,230,Wedding,500,Room Temperature,Winter,Low
Vegetables,350,Wedding,450,Refrigerated,Summer,Moderate
Fruits,261,Corporate,350,Refrigerated,All Seasons,Moderate
Baked Goods,247,Corporate,348,Room Temperature,Winter,Moderate
Baked Goods,380,Corporate,480,Room Temperature,All Seasons,Moderate
Baked Goods,350,Corporate,450,Room Temperature,Winter,High
Dairy Products,300,Birthday,400,Room Temperature,Summer,Low
Baked Goods,380,Social Gathering,480,Room Temperature,Winter,Moderate
Fruits,380,Social Gathering,500,Room Temperature,Winter,High
Vegetables,300,Social Gathering,400,Refrigerated,Winter,High
Baked Goods,300,Social Gathering,400,Room Temperature,All Seasons,Low
Dairy Products,300,Wedding,400,Room Temperature,All Seasons,Moderate
Baked Goods,320,Wedding,400,Room Temperature,All Seasons,Moderate
Baked Goods,300,Social Gathering,400,Room Temperature,All Seasons,Moderate
Baked Goods,280,Social Gathering,350,Room Temperature,Winter,Moderate
Baked Goods,208,Corporate,282,Room Temperature,All Seasons,Moderate
Baked Goods,320,Wedding,400,Room Temperature,All Seasons,High
Baked Goods,300,Social Gathering,400,Room Temperature,Summer,High
Dairy Products,240,Social Gathering,450,Room Temperature,All Seasons,Moderate
Meat,250,Corporate,500,Refrigerated,Summer,High
Meat,430,Corporate,477,Room Temperature,Winter,Low
Fruits,350,Social Gathering,450,Refrigerated,All Seasons,Moderate
Baked Goods,300,Social Gathering,400,Room Temperature,Summer,High
Dairy Products,220,Social Gathering,300,Room Temperature,Winter,Moderate
Baked Goods,280,Social Gathering,480,Room Temperature,All Seasons,Low
Baked Goods,350,Social Gathering,450,Room Temperature,All Seasons,Moderate
Dairy Products,350,Social Gathering,450,Room Temperature,All Seasons,Moderate
Fruits,320,Wedding,400,Refrigerated,Summer,High
Meat,300,Wedding,400,Refrigerated,Winter,Low
Meat,380,Wedding,480,Refrigerated,Winter,Moderate
Meat,300,Corporate,400,Refrigerated,Winter,Low
Meat,250,Wedding,350,Refrigerated,Winter,Moderate
Fruits,380,Corporate,500,Refrigerated,Summer,High
Meat,280,Corporate,350,Refrigerated,Summer,Low
Meat,350,Corporate,450,Refrigerated,Summer,High
Meat,320,Wedding,400,Refrigerated,All Seasons,High
Meat,380,Corporate,480,Refrigerated,Winter,Moderate
Meat,250,Corporate,350,Refrigerated,Winter,High
Meat,280,Wedding,350,Refrigerated,Summer,Low
Meat,429,Birthday,496,Refrigerated,Winter,Low
Dairy Products,320,Wedding,400,Room Temperature,Summer,High
Meat,400,Wedding,500,Refrigerated,Summer,High
Fruits,400,Wedding,450,Room Temperature,All Seasons,Moderate
Meat,208,Corporate,282,Refrigerated,Winter,Moderate
Fruits,320,Social Gathering,400,Room Temperature,Summer,High
Vegetables,350,Wedding,450,Refrigerated,Summer,Low
Vegetables,280,Corporate,350,Refrigerated,Winter,Low
Meat,350,Wedding,450,Refrigerated,Summer,Moderate
Fruits,300,Wedding,450,Room Temperature,All Seasons,High
Fruits,275,Wedding,388,Room Temperature,Winter,Low
Fruits,220,Birthday,450,Room Temperature,Summer,Low
Baked Goods,400,Wedding,500,Room Temperature,Summer,High
Vegetables,302,Social Gathering,371,Refrigerated,Winter,Low
Baked Goods,320,Corporate,400,Room Temperature,All Seasons,High
Meat,397,Wedding,482,Room Temperature,Winter,Moderate
Vegetables,320,Social Gathering,400,Refrigerated,All Seasons,High
Meat,300,Social Gathering,400,Room Temperature,Winter,Low
Dairy Products,300,Corporate,400,Room Temperature,Winter,Low
Fruits,300,Wedding,400,Refrigerated,All Seasons,Low
Baked Goods,320,Birthday,400,Room Temperature,Winter,Moderate
Meat,230,Birthday,500,Room Temperature,Winter,Moderate
Meat,320,Social Gathering,400,Refrigerated,Summer,High
Meat,280,Wedding,350,Refrigerated,All Seasons,Low
Fruits,280,Wedding,350,Refrigerated,Summer,Low
Meat,320,Wedding,400,Refrigerated,Summer,High
Meat,300,Birthday,400,Refrigerated,Winter,High
Fruits,280,Wedding,350,Room Temperature,Summer,Low
Meat,400,Birthday,500,Refrigerated,All Seasons,High
Meat,250,Social Gathering,350,Refrigerated,Summer,Moderate
Baked Goods,400,Corporate,500,Room Temperature,Summer,High
Baked Goods,342,Corporate,405,Room Temperature,Summer,Moderate
Vegetables,350,Birthday,450,Refrigerated,Summer,Moderate
Fruits,250,Wedding,350,Refrigerated,Winter,Moderate
Baked Goods,320,Birthday,480,Room Temperature,Summer,High
Vegetables,320,Corporate,400,Room Temperature,Winter,Moderate
Fruits,400,Birthday,500,Room Temperature,Summer,High
Fruits,320,Corporate,400,Room Temperature,Winter,Moderate
Meat,250,Social Gathering,480,Room Temperature,Winter,Low
Baked Goods,350,Corporate,450,Room Temperature,Winter,Low
Vegetables,400,Corporate,500,Refrigerated,Winter,High
Meat,250,Social Gathering,350,Room Temperature,Summer,Moderate
Vegetables,434,Wedding,495,Room Temperature,Winter,Low
Vegetables,350,Birthday,450,Refrigerated,Winter,High
Vegetables,400,Birthday,500,Refrigerated,Summer,High
Baked Goods,280,Wedding,350,Room Temperature,Summer,Moderate
Fruits,250,Social Gathering,350,Refrigerated,All Seasons,Moderate
Baked Goods,300,Wedding,400,Room Temperature,Summer,High
Vegetables,250,Corporate,350,Refrigerated,Summer,Moderate
Baked Goods,300,Birthday,400,Room Temperature,Winter,Moderate
Vegetables,300,Wedding,400,Refrigerated,Summer,Moderate
Dairy Products,280,Social Gathering,350,Room Temperature,Winter,Low
Baked Goods,432,Wedding,477,Room Temperature,Winter,Low
Vegetables,300,Social Gathering,400,Room Temperature,Summer,Low
Dairy Products,300,Wedding,400,Room Temperature,Winter,High
Dairy Products,320,Corporate,480,Room Temperature,All Seasons,High
Vegetables,320,Social Gathering,400,Refrigerated,Winter,High
Dairy Products,300,Corporate,400,Room Temperature,Winter,Moderate
Baked Goods,400,Corporate,500,Room Temperature,Summer,High
Meat,350,Social Gathering,450,Refrigerated,Summer,Moderate
Baked Goods,320,Corporate,400,Room Temperature,Summer,Moderate
Meat,220,Social Gathering,300,Room Temperature,Winter,Moderate
Dairy Products,275,Wedding,388,Room Temperature,All Seasons,Low
Vegetables,350,Wedding,450,Room Temperature,Winter,Moderate
Dairy Products,320,Birthday,400,Room Temperature,Winter,Moderate
Fruits,380,Wedding,500,Room Temperature,All Seasons,High
Dairy Products,400,Birthday,500,Room Temperature,Winter,High
Vegetables,300,Social Gathering,400,Refrigerated,Summer,Moderate
Baked Goods,275,Birthday,388,Room Temperature,All Seasons,Low
Baked Goods,400,Corporate,350,Room Temperature,Summer,High
Meat,250,Social Gathering,350,Refrigerated,Winter,Moderate
Baked Goods,434,Wedding,495,Room Temperature,Summer,Low
Baked Goods,320,Social Gathering,400,Room Temperature,All Seasons,High
Baked Goods,400,Corporate,500,Room Temperature,All Seasons,Low
Fruits,220,Social Gathering,300,Room Temperature,Summer,Moderate
Baked Goods,280,Social Gathering,350,Room Temperature,Summer,Low
Baked Goods,300,Wedding,400,Room Temperature,Winter,Moderate
Baked Goods,220,Corporate,300,Room Temperature,Summer,Moderate
Fruits,280,Social Gathering,350,Room Temperature,All Seasons,Moderate
Dairy Products,261,Wedding,350,Room Temperature,Winter,Moderate
Dairy Products,275,Social Gathering,388,Room Temperature,Summer,Low
Dairy Products,400,Corporate,500,Room Temperature,Summer,High
Vegetables,380,Social Gathering,480,Room Temperature,All Seasons,Moderate
Dairy Products,280,Birthday,350,Room Temperature,All Seasons,Moderate
Baked Goods,400,Social Gathering,500,Room Temperature,All Seasons,High
Dairy Products,220,Corporate,300,Room Temperature,All Seasons,Moderate
Fruits,350,Social Gathering,450,Room Temperature,All Seasons,Moderate
Dairy Products,350,Birthday,450,Room Temperature,All Seasons,Moderate
Dairy Products,220,Social Gathering,300,Room Temperature,All Seasons,Moderate
Baked Goods,220,Social Gathering,450,Room Temperature,All Seasons,Low
Baked Goods,220,Social Gathering,300,Room Temperature,Winter,Moderate
Meat,208,Social Gathering,282,Room Temperature,Summer,Moderate
Dairy Products,250,Wedding,350,Room Temperature,All Seasons,High
Dairy Products,280,Social Gathering,350,Room Temperature,All Seasons,Low
Dairy Products,350,Birthday,450,Room Temperature,All Seasons,High
Baked Goods,250,Social Gathering,350,Room Temperature,Winter,High
Dairy Products,400,Corporate,500,Room Temperature,All Seasons,Low
Baked Goods,270,Social Gathering,400,Room Temperature,All Seasons,High
Dairy Products,250,Corporate,350,Room Temperature,All Seasons,Moderate
Dairy Products,250,Wedding,350,Room Temperature,All Seasons,Moderate
Dairy Products,208,Social Gathering,282,Room Temperature,Winter,Moderate
Baked Goods,350,Social Gathering,450,Room Temperature,All Seasons,High
Dairy Products,250,Social Gathering,350,Room Temperature,All Seasons,Moderate
Dairy Products,250,Social Gathering,350,Room Temperature,All Seasons,Moderate
Dairy Products,250,Social Gathering,350,Room Temperature,All Seasons,Moderate
Meat,302,Birthday,371,Refrigerated,Winter,Low
Meat,430,Wedding,477,Refrigerated,All Seasons,Low
Meat,400,Birthday,450,Refrigerated,Summer,Moderate
Meat,220,Wedding,300,Refrigerated,Summer,Low
Meat,350,Wedding,450,Refrigerated,Summer,High
Meat,250,Wedding,350,Refrigerated,All Seasons,Moderate
Meat,290,Corporate,374,Refrigerated,Winter,Low
Meat,220,Birthday,450,Room Temperature,Winter,Low
Meat,300,Corporate,400,Refrigerated,Winter,Low
Meat,240,Corporate,450,Refrigerated,Winter,Low
Meat,442,Corporate,482,Refrigerated,Summer,Low
Meat,300,Wedding,400,Refrigerated,Winter,Low
Meat,400,Corporate,500,Refrigerated,Winter,High
Vegetables,491,Birthday,497,Refrigerated,Summer,High
Meat,220,Birthday,300,Refrigerated,Summer,Moderate
Meat,350,Birthday,450,Refrigerated,Winter,High
Meat,300,Social Gathering,400,Refrigerated,All Seasons,High
Vegetables,302,Social Gathering,371,Refrigerated,Summer,Low
Meat,350,Corporate,450,Refrigerated,Winter,Moderate
Meat,300,Corporate,400,Refrigerated,Summer,Moderate
Fruits,450,Corporate,500,Room Temperature,Winter,High
Meat,434,Corporate,495,Refrigerated,Summer,Low
Meat,250,Corporate,350,Refrigerated,All Seasons,High
Meat,450,Birthday,500,Refrigerated,Summer,High
Meat,434,Wedding,495,Refrigerated,Winter,Low
Meat,280,Birthday,350,Room Temperature,Winter,Low
Meat,280,Corporate,480,Refrigerated,Winter,Low
Meat,280,Corporate,350,Room Temperature,Winter,Low
Meat,429,Corporate,496,Refrigerated,Summer,Low
Meat,320,Corporate,400,Refrigerated,Winter,Moderate
Meat,400,Corporate,500,Refrigerated,Summer,High
Fruits,220,Corporate,300,Room Temperature,Summer,Moderate
Dairy Products,220,Birthday,300,Refrigerated,Winter,Low
Fruits,250,Social Gathering,350,Room Temperature,Winter,Moderate
Dairy Products,300,Corporate,400,Room Temperature,Summer,High
Dairy Products,400,Wedding,500,Room Temperature,All Seasons,High
Baked Goods,430,Social Gathering,477,Room Temperature,Winter,Low
Fruits,300,Birthday,400,Room Temperature,Summer,Moderate
Fruits,320,Corporate,400,Room Temperature,All Seasons,Moderate
Baked Goods,280,Wedding,350,Room Temperature,Winter,Moderate
Vegetables,350,Birthday,450,Room Temperature,Summer,High
Meat,453,Social Gathering,484,Refrigerated,Summer,High
Vegetables,300,Wedding,400,Refrigerated,All Seasons,Low
Baked Goods,320,Corporate,400,Room Temperature,Winter,Moderate
Dairy Products,320,Birthday,400,Room Temperature,All Seasons,High
Baked Goods,300,Corporate,400,Room Temperature,All Seasons,High
Meat,350,Wedding,450,Refrigerated,All Seasons,High
Baked Goods,250,Corporate,350,Room Temperature,Summer,Low
Meat,220,Wedding,300,Refrigerated,Winter,Moderate
Meat,220,Birthday,300,Refrigerated,Summer,Moderate
Meat,250,Corporate,350,Refrigerated,Winter,Low
Fruits,250,Corporate,350,Refrigerated,Winter,Low
Meat,220,Corporate,300,Refrigerated,Summer,Moderate
Meat,270,Corporate,400,Refrigerated,Summer,High
Meat,280,Birthday,350,Refrigerated,All Seasons,Moderate
Fruits,300,Wedding,400,Room Temperature,Summer,High
Dairy Products,320,Birthday,400,Room Temperature,Winter,High
Baked Goods,280,Birthday,400,Room Temperature,Summer,Moderate
Vegetables,450,Corporate,500,Refrigerated,Summer,High
Meat,280,Birthday,480,Refrigerated,Winter,Low
Meat,380,Corporate,480,Refrigerated,Summer,Moderate
Vegetables,320,Birthday,480,Refrigerated,All Seasons,High
Meat,350,Wedding,450,Refrigerated,Winter,High
Meat,350,Wedding,450,Refrigerated,Summer,Moderate
Vegetables,220,Social Gathering,300,Refrigerated,Summer,Moderate
Dairy Products,220,Social Gathering,300,Room Temperature,Winter,Low
Baked Goods,310,Social Gathering,350,Room Temperature,Summer,High
Baked Goods,220,Corporate,300,Room Temperature,Summer,Moderate
Baked Goods,280,Birthday,350,Room Temperature,All Seasons,Moderate
Meat,400,Wedding,500,Refrigerated,All Seasons,Low
Meat,250,Wedding,350,Refrigerated,Winter,Moderate
Meat,280,Social Gathering,350,Refrigerated,All Seasons,Low
Vegetables,350,Wedding,450,Refrigerated,Summer,High
Meat,400,Social Gathering,500,Room Temperature,Winter,High
Baked Goods,400,Corporate,500,Room Temperature,All Seasons,High
Dairy Products,250,Social Gathering,480,Room Temperature,Summer,Low
Dairy Products,320,Wedding,400,Room Temperature,All Seasons,High
Dairy Products,350,Wedding,450,Room Temperature,All Seasons,Moderate
Dairy Products,400,Wedding,500,Room Temperature,All Seasons,High
Baked Goods,300,Social Gathering,400,Room Temperature,All Seasons,High
Baked Goods,250,Birthday,350,Room Temperature,Winter,Moderate
Baked Goods,350,Wedding,450,Room Temperature,All Seasons,Moderate
Baked Goods,250,Corporate,350,Room Temperature,Summer,Moderate
Baked Goods,320,Birthday,400,Room Temperature,All Seasons,Moderate
Fruits,280,Social Gathering,350,Room Temperature,All Seasons,Moderate
Baked Goods,247,Corporate,348,Room Temperature,All Seasons,Moderate
Dairy Products,400,Corporate,500,Room Temperature,All Seasons,High
Dairy Products,380,Wedding,500,Room Temperature,All Seasons,High
Fruits,400,Social Gathering,500,Room Temperature,All Seasons,High
Fruits,250,Wedding,350,Refrigerated,Winter,Moderate
Meat,320,Social Gathering,400,Refrigerated,Summer,Moderate
Meat,320,Corporate,400,Refrigerated,All Seasons,Moderate
Fruits,280,Birthday,350,Refrigerated,All Seasons,Moderate
Baked Goods,220,Corporate,300,Room Temperature,Summer,Low
Vegetables,290,Wedding,374,Refrigerated,Summer,Low
Fruits,488,Corporate,498,Room Temperature,Summer,High
Vegetables,220,Birthday,300,Refrigerated,Winter,Low
Meat,350,Wedding,450,Refrigerated,All Seasons,High
Fruits,300,Wedding,400,Room Temperature,Winter,High
Fruits,400,Corporate,450,Room Temperature,All Seasons,Moderate
Fruits,342,Birthday,405,Room Temperature,All Seasons,Moderate
Meat,292,Social Gathering,470,Refrigerated,Summer,High
Fruits,320,Wedding,400,Room Temperature,All Seasons,Low
Meat,350,Corporate,450,Refrigerated,Summer,Moderate
Dairy Products,380,Corporate,400,Room Temperature,All Seasons,Moderate
Baked Goods,250,Social Gathering,350,Room Temperature,All Seasons,Moderate
Baked Goods,247,Social Gathering,348,Room Temperature,All Seasons,Moderate
Dairy Products,397,Wedding,482,Room Temperature,All Seasons,Moderate
Dairy Products,300,Social Gathering,400,Room Temperature,Summer,Moderate
Baked Goods,280,Wedding,350,Room Temperature,Winter,Low
Baked Goods,320,Corporate,480,Room Temperature,Summer,High
Vegetables,280,Birthday,350,Refrigerated,Summer,Moderate
Baked Goods,220,Corporate,300,Room Temperature,Winter,Low
Baked Goods,434,Wedding,495,Room Temperature,Winter,Low
Meat,300,Corporate,400,Refrigerated,All Seasons,Moderate
Dairy Products,300,Corporate,400,Room Temperature,All Seasons,High
Baked Goods,220,Birthday,300,Room Temperature,Summer,Moderate
Baked Goods,275,Birthday,388,Room Temperature,All Seasons,Low
Baked Goods,400,Wedding,500,Room Temperature,All Seasons,High
Vegetables,250,Social Gathering,480,Refrigerated,Summer,Low
Fruits,300,Social Gathering,400,Refrigerated,All Seasons,High
Fruits,350,Corporate,450,Room Temperature,Winter,High
Vegetables,342,Corporate,405,Refrigerated,Winter,Moderate
Baked Goods,320,Birthday,480,Room Temperature,All Seasons,High
Fruits,488,Social Gathering,498,Room Temperature,Winter,High
Baked Goods,280,Corporate,350,Room Temperature,Winter,Low
Baked Goods,280,Birthday,350,Room Temperature,Winter,Moderate
Fruits,280,Corporate,480,Room Temperature,Summer,Moderate
Dairy Products,300,Wedding,400,Room Temperature,Summer,Low
Meat,300,Social Gathering,450,Refrigerated,All Seasons,High
Dairy Products,280,Wedding,480,Room Temperature,Summer,Low
Fruits,439,Social Gathering,459,Room Temperature,All Seasons,Low
Dairy Products,380,Wedding,480,Room Temperature,Summer,Low
Baked Goods,400,Corporate,500,Room Temperature,All Seasons,Low
Baked Goods,247,Birthday,348,Room Temperature,All Seasons,Moderate
Baked Goods,220,Corporate,300,Room Temperature,All Seasons,Moderate
Dairy Products,280,Social Gathering,350,Room Temperature,Winter,Low
Dairy Products,280,Wedding,480,Room Temperature,All Seasons,Low
Baked Goods,400,Corporate,500,Room Temperature,Summer,High
Vegetables,400,Corporate,500,Refrigerated,Winter,High
Dairy Products,320,Social Gathering,400,Room Temperature,Summer,High
Fruits,250,Wedding,350,Room Temperature,All Seasons,Moderate
Fruits,438,Corporate,493,Room Temperature,Winter,Moderate
Baked Goods,220,Social Gathering,300,Room Temperature,Summer,Low
Fruits,320,Birthday,400,Room Temperature,All Seasons,Moderate
Meat,250,Social Gathering,350,Refrigerated,Winter,Moderate
Fruits,400,Corporate,350,Room Temperature,All Seasons,High
Vegetables,350,Corporate,450,Refrigerated,All Seasons,Moderate
Baked Goods,220,Wedding,300,Room Temperature,All Seasons,Moderate
Dairy Products,350,Corporate,450,Room Temperature,All Seasons,Low
Dairy Products,350,Birthday,450,Room Temperature,All Seasons,High
Dairy Products,300,Birthday,450,Room Temperature,All Seasons,High
Dairy Products,400,Corporate,500,Room Temperature,All Seasons,High
Dairy Products,488,Corporate,498,Room Temperature,All Seasons,High
Dairy Products,350,Corporate,450,Room Temperature,Winter,High
Vegetables,230,Social Gathering,500,Refrigerated,Winter,Moderate
Dairy Products,250,Wedding,350,Room Temperature,All Seasons,High
Baked Goods,320,Birthday,400,Room Temperature,All Seasons,Moderate
Baked Goods,208,Wedding,282,Room Temperature,All Seasons,Moderate
Baked Goods,350,Social Gathering,350,Room Temperature,Winter,High
Baked Goods,220,Social Gathering,300,Room Temperature,Winter,Moderate
Dairy Products,350,Corporate,450,Room Temperature,All Seasons,Moderate
Dairy Products,240,Social Gathering,450,Room Temperature,Summer,Low
Baked Goods,350,Social Gathering,450,Room Temperature,Winter,High
Baked Goods,220,Birthday,300,Room Temperature,All Seasons,Moderate
Dairy Products,220,Corporate,300,Room Temperature,All Seasons,Moderate
Dairy Products,400,Corporate,400,Room Temperature,All Seasons,High
Dairy Products,350,Wedding,450,Room Temperature,All Seasons,High
Baked Goods,250,Social Gathering,350,Room Temperature,All Seasons,Moderate
Meat,350,Social Gathering,450,Room Temperature,Winter,Moderate
Dairy Products,350,Corporate,450,Room Temperature,Winter,Moderate
Dairy Products,300,Birthday,400,Room Temperature,All Seasons,Moderate
Dairy Products,280,Social Gathering,350,Room Temperature,Summer,Low
Dairy Products,280,Social Gathering,350,Room Temperature,All Seasons,Low
Dairy Products,453,Birthday,484,Room Temperature,All Seasons,High
Dairy Products,320,Birthday,400,Room Temperature,All Seasons,Moderate
Fruits,220,Social Gathering,300,Room Temperature,All Seasons,Moderate
Baked Goods,208,Birthday,282,Room Temperature,All Seasons,Moderate
Dairy Products,220,Corporate,300,Room Temperature,All Seasons,Moderate
Dairy Products,300,Corporate,400,Room Temperature,All Seasons,Moderate
Dairy Products,280,Social Gathering,350,Room Temperature,All Seasons,Moderate
Meat,320,Wedding,400,Refrigerated,Winter,High
Meat,300,Birthday,400,Refrigerated,Summer,High
Meat,302,Wedding,371,Refrigerated,All Seasons,Low
Meat,250,Wedding,350,Refrigerated,Summer,High
Fruits,320,Social Gathering,480,Refrigerated,Winter,High
Meat,320,Corporate,400,Refrigerated,Winter,Moderate
Baked Goods,284,Birthday,443,Room Temperature,Summer,Low
Meat,280,Wedding,350,Refrigerated,All Seasons,Low
Meat,453,Wedding,484,Refrigerated,Summer,High
Meat,400,Birthday,500,Refrigerated,Summer,Low
Meat,320,Social Gathering,400,Room Temperature,Summer,High
Vegetables,434,Wedding,495,Refrigerated,Summer,Low
Meat,300,Corporate,400,Refrigerated,All Seasons,Moderate
Fruits,220,Corporate,300,Room Temperature,Summer,Moderate
Vegetables,400,Corporate,500,Refrigerated,Summer,High
Meat,300,Corporate,400,Refrigerated,Winter,Moderate
Meat,300,Wedding,400,Refrigerated,All Seasons,Moderate
Fruits,412,Birthday,478,Room Temperature,Summer,Low
Fruits,491,Birthday,497,Room Temperature,All Seasons,High
Meat,300,Social Gathering,400,Refrigerated,Winter,Low
